,title,year,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings,metascore,imdbrating,imdbvotes,imdbid,type,dvd,boxoffice,production,website,response,error,totalseasons
1029,The Love Trap,1929,Passed,04 Aug 1929,71 min,Comedy,William Wyler,"Edward J. Montagne, Clarence Thompson, Albert DeMond","Laura La Plante, Neil Hamilton, Robert Ellis","A chorus girl loses her job and thus the room she owes back rent on, and ends up being rescued from the street by a dashing rich man. But his family isn't over-accepting of chorus girls joining their family.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzg0ZWE1NDktNjE2Ni00ZTZjLWIxYTItYTBlOWMyZjk5YzI3XkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,223,tt0020114,movie,N/A,N/A,N/A,N/A,True,,
1030,The Ridin' Demon,1929,N/A,18 Aug 1929,N/A,Western,Ray Taylor,"Basil Dickey (screenplay), Basil Dickey (story), Carl Krusada (titles)","Ted Wells, Kathleen Collins, Lucy Beaumont, Otto Bibber",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt0020331,movie,N/A,N/A,N/A,N/A,True,,
1031,Points West,1957–,N/A,N/A,N/A,News,N/A,N/A,"Ian Fergusson, David Garmston, Alex Lovell",Local news programme for the West of England.,English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMDQ5ZGZmZTUtZDc0OC00ZDFiLWFmNDEtZWM3ZDAyMzg5ZGUwXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,16,tt0810496,series,,,,,True,,N/A
1032,The Drake Case,1929,Passed,01 Sep 1929,54 min,"Crime, Drama, Mystery",Edward Laemmle,"Charles Logue, J.G. Hawks, Dudley Early","Gladys Brockwell, Robert Frazer, Forrest Stanley",Gladys Brockwell's last performance is as a maid accused of killing the lady of the house.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNDAxOWJhMDUtNDIyZS00OGI3LTk5YzMtYTkzMTdlZGY1NjZjXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,21,tt0019834,movie,N/A,N/A,N/A,N/A,True,,
1033,The Wagon Master,1929,Passed,08 Sep 1929,70 min,Western,Harry Joe Brown,"Marion Jackson, Leslie Mason","Ken Maynard, Edith Roberts, Tom Santschi","Bill Hollister organizes a wagon train to break the unfair monopoly held by Jake Lynch on food prices in the mining camps. The Rambler joins the train when it leaves for Gold Hill, and takes command when Hollister is killed from a...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNGI0ZDlkMzYtYWRmMi00ZjNmLTg0MmUtOGY1YWNmODZmYzI3XkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg,[],N/A,N/A,11,tt0020562,movie,N/A,N/A,N/A,N/A,True,,
1034,Hold Your Man,1933,Passed,07 Jul 1933,87 min,"Crime, Drama, Music",Sam Wood,"Anita Loos, Howard Emmett Rogers, Frances Marion","Jean Harlow, Clark Gable, Stuart Erwin",A woman is sent to a reformatory when her con artist lover flees after killing a man during a botched blackmail scheme.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjVjNGY0ZjgtOGE5OC00MTljLWI2OTAtMTVmNzhkMjY2OGJmXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,"1,633",tt0024130,movie,22 Mar 2016,N/A,N/A,N/A,True,,
1035,Barnum Was Right,1929,Passed,22 Sep 1929,57 min,"Action, Comedy, Romance",Del Lord,"Hutcheson Boyd, Philip Bartholomae, John Meehan","Glenn Tryon, Merna Kennedy, Otis Harlan",Freddie owns a failing old hotel. To attract new business he spreads the rumor that there's pirate treasure hidden somewhere in the building.,"None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNjcwNDM4ZGYtOWM5MC00MTBjLTk5OTQtODViNjM2OTBiNmM2XkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,16,tt0019676,movie,N/A,N/A,N/A,N/A,True,,
1036,Tonight at Twelve,1929,N/A,29 Sep 1929,78 min,Drama,Harry A. Pollard,"Owen Davis, Harry A. Pollard, Matt Taylor","Madge Bellamy, Robert Ellis, Margaret Livingston","lice Keith, a suspicious wife, believes that her husband is running after his old sweetheart, Dora Eldredge, and two other married women in her circle. Making her accusation during a dinner party at which the women and their husba...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYmVhNDFiZDEtZjg2NC00YWQ0LThmNWQtMjk1NGM1Y2E0YTM4XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0020511,movie,N/A,N/A,N/A,N/A,True,,
1037,The Ace of Scotland Yard,1929,Passed,30 Sep 1929,215 min,"Action, Crime, Drama",Ray Taylor,Harold M. Atkinson,"Crauford Kent, Florence Allen, Albert Prisco","From the Universal synopsis: Retired Inspector Blake of Scotland Yard learns that Lord Blanton has acquired the sacred ""Love Ring""---a cursed jewel that has brought grief to its previous owners. Prince Darius seeks to obtain the r...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMmI1MzI2ZTItMmUzYi00ZTU2LWE3YjktOTJkOWRiYTRlZDllXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,23,tt0019620,movie,N/A,N/A,N/A,N/A,True,,
1038,Melody Lane,1941,Passed,09 Dec 1941,60 min,"Comedy, Musical, Romance",Charles Lamont,"Bernard Feins, Hugh Wedlock Jr., Howard Snyder","Judd McMichael, Ted McMichael, Joe McMichael","J. Roy Thomas, the head of an advertising agency, is getting headaches from trying to find a name-band for a wacky client, McKenzie, who insists on sitting in with the band. As a last resort, Thomas sends agency-employee Patricia ...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzExNzI3YzYtN2NlZS00OTUwLTk4ZWUtY2QzYmM3NjY0N2ZjXkEyXkFqcGdeQXVyMzc5ODc1MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,16,tt0033897,movie,N/A,N/A,N/A,N/A,True,,
1039,One Hysterical Night,1929,Passed,06 Oct 1929,75 min,"Comedy, Romance",William James Craft,"Reginald Denny, Earle Snell","Reginald Denny, Nora Lane, E.J. Ratcliffe","The scheming aunt and uncle of William Judd, heir to the family fortune, persuade him to pose as Napoleon at a fancy masquerade ball, but they are actually having him committed to an insane asylum. Since all the other inmates/atte...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZDBjYTZmMzktMjllNC00MjgxLTgzNTctYjBhMjI1YWI1OWRlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,16,tt0020241,movie,N/A,N/A,N/A,N/A,True,,
1040,"The Long, Long Trail",1929,Passed,27 Oct 1929,58 min,Western,Arthur Rosson,Earl Wayland Bowman,"Hoot Gibson, Sally Eilers, Kathryn McGuire","Its time for the big race and its the Rambling Kid riding Dynamite versus Wilson's horse Thunderbolt. When Gyp informs Wilson that Lightning is faster, Wilson has Gyp drug the Kid's coffee just before the race.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZDEyMDdjODUtNWFmYS00ODkzLTkxMTQtZTE5MzVjYjAzYzI2XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,18,tt0020107,movie,N/A,N/A,N/A,N/A,True,,
1041,The Last Performance,1929,N/A,13 Oct 1929,68 min,"Drama, Horror, Romance",Pál Fejös,"Walter Anthony, James Ashmore Creelman, Tom Reed","Conrad Veidt, Mary Philbin, Leslie Fenton","A middle-aged magician is in love with his beautiful young assistant, who is in love with his young protege', who turns out to be a bum and a thief.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMzQzOGFjZGItNDZkNC00N2JkLTgwOTEtNWNlNDljNWZkZGZkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,432,tt0020078,movie,N/A,N/A,N/A,N/A,True,,
1042,The Mississippi Gambler,1953,Approved,05 Mar 1953,99 min,"Romance, Western",Rudolph Maté,Seton I. Miller,"Tyrone Power, Piper Laurie, Julie Adams","In 1854 Mississippi, honest riverboat card gambler Mark Fallon wins young Laurent Dureau's diamond necklace, a family heirloom which, in the end, will bring him happiness and tragedy alike.",English,United States,Nominated for 1 Oscar. 1 nomination total,https://m.media-amazon.com/images/M/MV5BNTBlMmFiZmItZGVlMC00NTNmLTk5MzUtNDU3ZWYwZmU4NjNiXkEyXkFqcGdeQXVyNjQ1MTUzODc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,777,tt0046080,movie,N/A,"$5,000,000",N/A,N/A,True,,
1043,Señor Americano,1929,Passed,10 Nov 1929,71 min,Western,Harry Joe Brown,"Helmer Walton Bergman, Henry McCarty, Bennett Cohen","Ken Maynard, Kathryn Crawford, Frank Beal","A U.S. soldier goes after bandits in California, although it is still owned by Mexico.",English,United States,N/A,N/A,[],N/A,N/A,N/A,tt0020390,movie,N/A,N/A,N/A,N/A,True,,
1044,Shanghai Lady,1929,N/A,17 Nov 1929,66 min,Drama,John S. Robertson,"Daisy H. Andrews, Houston Branch, John Colton","Mary Nolan, James Murray, Lydia Yeamans Titus","Having spent several wasted months in a Shanghai opium dem, former prostitute Cassie Cook yearns to start her life afresh. Likewise, ex-convict Badlands McKinney also wants to clean up his act.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzIwMzVjMjUtNjA5NS00YWQxLWIxMzQtODViNjAzOTA0ZTA1XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0020393,movie,N/A,N/A,N/A,N/A,True,,
1045,Skinner Steps Out,1929,Passed,24 Nov 1929,70 min,Comedy,William James Craft,"Henry Irving Dodge, Matt Taylor, Albert DeMond","Glenn Tryon, Merna Kennedy, E.J. Ratcliffe","William Henry Skinner's young wife has great confidence in her husband's abilities and is ambitious for his success. He informs her of his importance at the office; but in reality he is an insignificant employee on a small salary,...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMmEzM2Q3MGUtOTNiYy00MThiLWI5NjMtNTZjZWY0YjA5OGU5XkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,10,tt0021385,movie,N/A,N/A,N/A,N/A,True,,
1046,The Devil's Pit,1929,N/A,19 Feb 1930,64 min,Documentary,Lewis D. Collins,"Walter Anthony, Lewis D. Collins","Patiti Warbrick, Witarina Mitchell, Ohana Keeha",A look at the lives of some inhabitants of some of the more primitive regions of the world.,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt0019818,movie,N/A,N/A,N/A,N/A,True,,
1047,The Shannons of Broadway,1929,N/A,08 Dec 1929,65 min,Comedy,Emmett J. Flynn,"James Gleason, Agnes Christine Johnston","James Gleason, Lucile Gleason, Mary Philbin","The Shannons, a vaudeville act, are performing in a New England town when the local hotel owner barges in and yanks his daughter Tessie, who is in the audience with her boyfriend Chuck, out of the theater. Young Mickey Shannon confro",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMzI4MzQ2OTctMzdhOC00NjU1LWFkODctZWNmMjViMjYxNjZiXkEyXkFqcGdeQXVyNzQ0NjI0ODc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,16,tt0020395,movie,N/A,N/A,N/A,N/A,True,,
1048,Tarzan the Tiger,1929,Passed,09 Dec 1929,266 min,"Action, Adventure",Henry MacRae,"Edgar Rice Burroughs, Ford Beebe","Frank Merrill, Natalie Kingston, Al Ferguson",After Tarzan's estate is destroyed by Arabs Jane is sold into slavery by a man posing as a friendly scientist.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjEzOTA3MzA5N15BMl5BanBnXkFtZTcwMDcxNDczMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,139,tt0020481,movie,24 Oct 2006,N/A,N/A,N/A,True,,
1049,Courtin' Wildcats,1929,Passed,22 Dec 1929,58 min,Western,Jerome Storm,"Dudley McKenna, William Dudley Pelley","Hoot Gibson, Eugenia Gilbert, Monte Montague",College boy Clarence Butts has been sent west by the Doctor to join McKenzie's circus. There he finds Calamity Jane running roughshod over everyone. So the dude decides to tame her.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOWI2ODVmYTItOTg5NC00NzI4LWI5NTQtYTBlNjc4NWRlZjI3XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,6,tt0019789,movie,N/A,N/A,N/A,N/A,True,,
1050,Hell's Heroes,1929,Passed,05 Jan 1930,68 min,Western,William Wyler,"Peter B. Kyne, Tom Reed, C. Gardner Sullivan","Charles Bickford, Raymond Hatton, Fred Kohler","Three bank robbers on the run happen across a woman about to give birth in an abandoned covered wagon. Before she dies, she names the three bandits as her newborn son's godfathers.","English, Spanish",United States,N/A,https://m.media-amazon.com/images/M/MV5BNWZkYTc3ZDctMzBkMS00Y2YwLWJkOWYtYzc3NTU4MzQ5ZmY3XkEyXkFqcGdeQXVyMTYzMTY1MjQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,864,tt0019976,movie,N/A,N/A,N/A,N/A,True,,
1051,Night Ride,2019,N/A,15 Jul 2020,95 min,Drama,Frédéric Farrucci,"Frédéric Farrucci, Nicolas Journet, Benjamin Charbit","Guang Huo, Camélia Jordana, Xun Liang","One night, Naomie, a stripper and bewitching call girl, gets into Jin's cab. Intrigued by Jin's muteness, she asks him to become her official taxi. As the nights go by, a beautiful but dangerous love story develops between them.","Cantonese, Mandarin, French",France,4 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMTViZTAxODAtOWNkNy00ODAxLWFlNTEtODQ4MDc1NDk0ZTgwXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,424,tt9262952,movie,N/A,N/A,N/A,N/A,True,,
1052,Parade of the West,1930,Passed,19 Jan 1930,66 min,Western,Harry Joe Brown,"Bennett Cohen, Leslie Mason","Ken Maynard, Gladys McConnell, Otis Harlan","A cowboy joins a Wild West show, where he has to ride a horse called ""Mankiller.""",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOWI5ZGEyNmYtM2VhNi00ZGMyLTgyMjAtZTdiMzVkMzRiZjEyXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0021230,movie,N/A,N/A,N/A,N/A,True,,
1053,The Climax,1944,Passed,20 Oct 1944,86 min,"Horror, Music, Thriller",George Waggner,"Curt Siodmak, Lynn Starling, Edward Locke","Boris Karloff, Susanna Foster, Turhan Bey",A demented physician becomes obsessed with a young singer whose voice sounds similar to his late mistress.,English,United States,Nominated for 1 Oscar. 2 nominations total,https://m.media-amazon.com/images/M/MV5BNjA1NmRlOTctYWFjYy00NGZmLWE5MDEtOTgzM2U4MTRmMjNjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,973,tt0036715,movie,19 Sep 2006,N/A,N/A,N/A,True,,
1054,The Mounted Stranger,1930,Passed,08 Feb 1930,66 min,"Action, Music, Romance",Arthur Rosson,"Henry H. Knibbs, Arthur Rosson","Hoot Gibson, Louise Lorraine, Francis Ford","Boy's father is murdered. As an adult, he tracks down the killers.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjgwNWQxM2UtMDk1Mi00YTYyLWFiMmEtMTZhNjY4NzRiNGNkXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,19,tt0021161,movie,N/A,N/A,N/A,N/A,True,,
1055,Dames Ahoy!,1930,Passed,09 Feb 1930,64 min,"Comedy, Romance",William James Craft,"Sherman L. Lowe, Albert DeMond, Matt Taylor","Glenn Tryon, Helen Wright, Otis Harlan",Three sailors go searching for a girl who swindled one of them out of half his pay.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BM2Y4MDRmNGYtMWIwYy00MjQxLWE1MmItMjZmMDVkMjQ2Y2M4XkEyXkFqcGdeQXVyMTU0MjI4NzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,33,tt0020803,movie,N/A,N/A,N/A,N/A,True,,
1056,The Jade Box,1930,Passed,24 Mar 1930,220 min,"Action, Adventure, Crime",Ray Taylor,Frederick J. Jackson,"Louise Lorraine, Jack Perrin, Monroe Salisbury","One of a group of Americans steals the Jade Box, which holds the secret of invisibility; a murderous Oriental cult wants it back and tracks them down.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZThiN2UzYzEtNjcxYy00ZTQzLWIxZDMtNWE1N2JhOGI5OGQ1XkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.7/10'}]",N/A,3.7,30,tt0021007,movie,N/A,N/A,N/A,N/A,True,,
1057,Undertow,2004,R,17 Dec 2004,108 min,"Drama, Thriller",David Gordon Green,"Lingard Jervey, Joe Conway, David Gordon Green","Jamie Bell, Josh Lucas, Dermot Mulroney",A pig farmer's wife dies and he's having problems with the oldest of 2 sons. There is more trouble when his recently released from prison brother arrives.,English,United States,3 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BMTYzODgyOTMzMV5BMl5BanBnXkFtZTcwMjU2MTcyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,6.5,"9,176",tt0360130,movie,26 Apr 2005,"$143,597",N/A,N/A,True,,
1058,The Cohens and the Kellys in Scotland,1930,N/A,01 Mar 1930,84 min,Comedy,William James Craft,"Albert DeMond, John McDermott","George Sidney, Charles Murray, Vera Gordon",The Cohens and the Kellys travel to Scotland to buy plaid in the hopes that a prince will start a new fashion trend.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTc4ODc1MDAtYTNiYi00ZjE1LWEzNzctNjc3M2YyYmIxMTlmXkEyXkFqcGdeQXVyOTc5MDI5NjE@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0020777,movie,N/A,N/A,N/A,N/A,True,,
1059,Lucky Larkin,1930,Passed,02 Mar 1930,66 min,Western,Harry Joe Brown,"Marion Jackson, Leslie Mason","Ken Maynard, Nora Lane, Jim Farley","Outlaws attempt to drive Colonel Lee (Charles Clary) off his ranch to prevent him from entering horses in the cross-country races. Martin Brierson (James Farley), the outlaw leader, tries to buy Lee's ranch but he refuses to sell....",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOTVjODJlMmUtZDBiMC00MTc1LWJmNzMtODliM2E3MDcxNDNkXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0021104,movie,N/A,N/A,N/A,N/A,True,,
1060,Trailing Trouble,1937,Passed,27 Aug 1937,57 min,Western,Arthur Rosson,"E. Morton Hough, Philip Graham White","Ken Maynard, Tarzan, Lona Andre","Maynard is an easy going cowhand mistaken for a ruthless killer. Using this reputation, he is hired as a ranch foreman where he settles a major dispute over open rangeland and water rights.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BY2ExMWJjNmQtNmIyNS00ZGU3LWJkZjQtMGQ4MGRiZWQ5OThmXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,32,tt0030889,movie,16 May 2020,N/A,N/A,N/A,True,,
1061,Captain of the Guard,1930,Passed,29 Mar 1930,83 min,"Drama, Musical, Romance","John S. Robertson, Pál Fejös","Houston Branch, George Manker Watters, Arthur Ripley","Laura La Plante, John Boles, Sam De Grasse",A captain of the king's guards secretly works for the rebels.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjMyMDk4MDA1M15BMl5BanBnXkFtZTgwODU0MjUzMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,38,tt0020741,movie,N/A,N/A,N/A,N/A,True,,
1062,Hide-Out,1934,Passed,24 Aug 1934,81 min,"Comedy, Crime, Drama",W.S. Van Dyke,"Mauri Grashin, Frances Goodrich, Albert Hackett","Robert Montgomery, Maureen O'Sullivan, Edward Arnold",Farmers take in an injured racketeer and try to reform him.,English,United States,Nominated for 1 Oscar. 1 nomination total,https://m.media-amazon.com/images/M/MV5BZjE2NjFhZjYtODc4Yy00MzNhLWEwZTAtZGQ3ZDhkZDM1OWUyXkEyXkFqcGdeQXVyMjc3MjgzOTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,850,tt0025251,movie,N/A,N/A,N/A,N/A,True,,
1063,The Fighting Legion,1930,Passed,06 Apr 1930,74 min,Western,Harry Joe Brown,"Bennett Cohen, Leslie Mason","Ken Maynard, Tarzan, Dorothy Dwan","After being shot, a dying Marshal Dawson gives Dave Hayes his badge and asks him to finish his job. Dave becomes Marshal but when Bowie, the man that shot Dawson appears, he exposes Dave as an imposter. Dave is then in trouble whe...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzNjMTM4YjAtODY4MC00MGI2LTk2NTctOGE4NmQwYmE2ZWEwXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,42,tt0020882,movie,N/A,N/A,N/A,N/A,True,,
1064,King of Jazz,1930,Passed,20 Apr 1930,99 min,"Animation, Comedy, Musical","John Murray Anderson, Walter Lantz","Harry Ruskin, Edward T. Lowe Jr., Charles MacArthur","Paul Whiteman, John Boles, Laura La Plante",American Pre-Code color film starring Paul Whiteman and his Jazz orchestra.,"English, Spanish, German, Russian, French, Italian",United States,Won 1 Oscar. 2 wins total,https://m.media-amazon.com/images/M/MV5BZDBiZTdiM2QtMmMzZC00ZTcwLThhMDMtNjJmMzk1ZWYyODNhXkEyXkFqcGdeQXVyMTgzOTAxMzA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"1,507",tt0021025,movie,N/A,N/A,N/A,N/A,True,,
1065,Roaring Ranch,1930,Passed,27 Apr 1930,68 min,Western,B. Reeves Eason,B. Reeves Eason,"Hoot Gibson, Frank Clark, Sally Eilers",Cowboy fights to keep his ranch after oil is discovered on it.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZjJkNGM0NzYtYTdmOC00ZWJjLWI3YzQtY2FhODczMjQ5MzQwXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,28,tt0021306,movie,N/A,N/A,N/A,N/A,True,,
1066,Mountain Justice,1937,Passed,24 Apr 1937,83 min,"Drama, Romance",Michael Curtiz,"Norman Reilly Raine, Luci Ward","George Brent, Josephine Hutchinson, Guy Kibbee",Stalwart Appalachian woman finds romance as she struggles to better herself and her people amid prejudice and familial abuse.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOWZhZDAxYjgtMjgyNS00NGY3LTliM2EtYzQ3M2UzYWM2OTVkXkEyXkFqcGdeQXVyNjYyMDIxOTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,275,tt0029263,movie,N/A,N/A,N/A,N/A,True,,
1067,The Czar of Broadway,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
1068,Embarrassing Moments,1934,Approved,01 Sep 1934,61 min,"Comedy, Music, Romance",Edward Laemmle,"Gladys Unger, Charles Logue, William Anthony McGuire","Chester Morris, Marian Nixon, Walter Woolf King",N/A,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZDY3MjIxOGUtYzllZi00OGNmLTllZDctMTg2MGI1ZDBlNGYzXkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0025081,movie,N/A,N/A,N/A,N/A,True,,
1069,The Lightning Express,1930,Passed,02 Jun 1930,220 min,Western,Henry MacRae,"Frank H. Spearman, Ford Beebe","Lane Chandler, Louise Lorraine, Al Ferguson",A railroad needs to cross the land belonging to a young woman. Her crooked guardian tries to cheat her so he can get the right-of-way.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzgxMDUyNzAtMDA2Zi00OWMzLTg1NGItMjAxOTRiYzBmNzEzXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.0/10'}]",N/A,3.0,5,tt0021072,movie,N/A,N/A,N/A,N/A,True,,
1070,Trigger Tricks,1930,N/A,08 Jun 1930,61 min,Western,B. Reeves Eason,B. Reeves Eason,"Hoot Gibson, Sally Eilers, Robert Homans","Out to avenge his brother's death at the hands of cattleman Kingston, Tim gets hired at Dawley's sheep ranch. The sheep men are greatly outnumbered but Tim has some tricks planned that will even the odds.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZTM0ZmIyN2MtYmJjNy00M2UyLTk4OTktZWYzODdiYmEzMDk3XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0021490,movie,N/A,N/A,N/A,N/A,True,,
1071,Young Desire,1930,Passed,08 Jun 1930,68 min,"Drama, Romance",Lewis D. Collins,"William R. Doyle, Winifred Reeve, C. Gardner Sullivan","Mary Nolan, William Janney, Ralf Harolde",A carnival sideshow dancer falls in love with a handsome young man.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZmVjOWQzODktOGE5Yy00MzRmLTkxNzUtNjdiMDkwMzA4ZTFmXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,34,tt0021566,movie,N/A,N/A,N/A,N/A,True,,
1072,Song of the Caballero,1930,Passed,29 Jun 1930,73 min,Western,Harry Joe Brown,"Kenneth C. Beaton, Bennett Cohen, Leslie Mason","Ken Maynard, Doris Hill, Francis Ford","After El Lobo robs Don Jose he gives one of the stolen items to Conchita. Later when he saves Anita in a runaway coach, Don Pedro invites him to the wedding of Anita and his son Don Jose. But Conchita is at the wedding and recognizes",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZjFkOWRmYWItZjllNi00YzFkLTkzYzktZTdhZTMyMmY5MjhkXkEyXkFqcGdeQXVyNTI2MjY0OQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0021403,movie,N/A,N/A,N/A,N/A,True,,
